Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date,date,strain,country
MH887794,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0115-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-06,2018-01-06,MH887794,Nigeria
MH887795,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0112-ONDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-12-29,2017-12-29,MH887795,Nigeria
MH887796,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0160-KOGI-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-06,2018-02-06,MH887796,Nigeria
MH887797,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0103-EDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-11-29,2017-11-29,MH887797,Nigeria
MH887798,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0199.2-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-25,2018-02-25,MH887798,Nigeria
MH887799,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0165-EBONYI-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-10,2018-02-10,MH887799,Nigeria
MH887800,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0082-EDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-06-07,2017-06-07,MH887800,Nigeria
MH887801,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0083-ONDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-06-13,2017-06-13,MH887801,Nigeria
MH887802,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0192.2-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-28,2018-02-28,MH887802,Nigeria
MH887803,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0207-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-28,2018-02-28,MH887803,Nigeria
MH887804,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0123-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-12,2018-01-12,MH887804,Nigeria
MH887805,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0117-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-07,2018-01-07,MH887805,Nigeria
MH887806,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0188-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-14,2018-02-14,MH887806,Nigeria
MH887807,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0173-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-12,2018-02-12,MH887807,Nigeria
MH887808,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0088-EDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-06-27,2017-06-27,MH887808,Nigeria
MH887809,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0142-IMO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-19,2018-01-19,MH887809,Nigeria
MH887810,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0149-KOGI-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-30,2018-01-30,MH887810,Nigeria
MH887811,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0084-EDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-06-16,2017-06-16,MH887811,Nigeria
MH887813,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0199-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-20,2018-02-20,MH887813,Nigeria
MH887814,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0176-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-12,2018-02-12,MH887814,Nigeria
MH887815,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0133-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-16,2018-01-16,MH887815,Nigeria
MH887816,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0130-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-15,2018-01-15,MH887816,Nigeria
